date_time,city_area,state,country,ufo_shape,encounter_length,description,date_documented,latitude,longitude,time,weekday,month
2007-07-06 02:20:00,abilene,tx,us,fireball,2.0,Largest &quot;Falling Star&quot; I&#39ve ever seen,8/7/2007,32.4486111,-99.7327778,02:20,Friday,July
2009-07-04 21:46:00,algonquin,il,us,light,90.0,Single fire colored object spotted moving in a slow and nonlinear way,8/5/2009,42.1655556,-88.2941667,21:46,Saturday,July
2006-10-03 20:00:00,miles city,mt,us,oval,600.0,was sitting at my porch watching the evening sky&#44as i was watching i saw what i first thought was a plane comeing from the south &#44we ge,12/7/2006,46.4083333,-105.84,20:00,Tuesday,October
1996-02-27 22:01:00,saginaw,mi,us,light,480.0,Commuter airliner w/ passengers turns&#44 descends 12&#44500&#39 to avoid a bizarre&#44 extremely bright obj. directly ahead.  Obj. could &quot;jump.&quot;,11/2/1999,43.4194444,-83.9508333,22:01,Tuesday,February
2012-08-24 02:30:00,fresno,ca,us,formation,4.0,Formation of four lights traveling at an apparent fast rate of speed silently across the night sky.,10/30/2012,36.7477778,-119.7713889,02:30,Friday,August
1999-09-13 23:10:00,tulsa,ok,us,flash,1.0,Bluish-white flash lit up the sky for approx 1 second. Flash was low altitude&#44 behind a hill near the airport with no explosion. Couldn,10/2/1999,36.1538889,-95.9925,23:10,Monday,September
2004-09-06 04:00:00,waynesboro,va,us,cigar,3600.0,Spinning red cigar in gyrosphere.,12/14/2004,38.0683333,-78.8897222,04:00,Monday,September
2013-09-04 06:25:00,meriden,ct,us,cylinder,420.0,Daytime sighting over Meriden CT Silver Cylinder shape object zigzagging no wings no tail no nose no vapor trail no sound.,9/9/2013,41.5380556,-72.8075,06:25,Wednesday,September
1959-05-30 17:00:00,cincinnati,oh,us,disk,3600.0,Large saucer shaped craft hanging motionless and silently over Cincinnati. 500 Lights On Object0: Yes,3/4/2008,39.1619444,-84.4569444,17:00,Saturday,May
2001-07-18 04:45:00,hattiesburg,ms,us,light,4500.0,Bright&#44 red pulsing object in the north eastern section of the sky.,8/5/2001,31.3269444,-89.2902778,04:45,Wednesday,July
2011-02-08 07:30:00,fair grove,mo,us,cigar,20.0,VERY bright object.,3/10/2011,37.3838889,-93.1511111,07:30,Tuesday,February
2003-07-21 22:00:00,tucson,az,us,triangle,900.0,very large and slow moving,8/1/2003,32.2216667,-110.9258333,22:00,Monday,July
2010-03-25 18:00:00,colcord,ok,us,changing,120.0,strange lights in Oklahoma sky outside Siloam Springs Arkansas March 25&#44 2010,4/13/2010,36.2641667,-94.6927778,18:00,Thursday,March
